scenario,N,protocol,cluster_creation_time_s,avg_role_changes,network_lifetime_s,dead_nodes,isolation_clusters_avg,avg_end_to_end_delay_s,packet_delivery_ratio
case1,10,icra,2.0910668051025519e-07,4.6,481.0,10,8,0.005096,0.013793103448275862
case1,10,wca,1.6469343487794202e-07,5.1,351.0,10,9,0.005096,0.0379746835443038
case1,10,dca,1.764266441265742e-07,3.8,313.0,10,8,0.005096,0.007575757575757576
case1,20,icra,2.5230663595721127e-07,6.7,295.0,20,13,0.005096,0.02631578947368421
case1,20,wca,2.0395995913228642e-07,10.75,411.0,20,14,0.005733000000000001,0.05177993527508091
case1,20,dca,1.8431989398474495e-07,5.9,320.0,20,17,0.005096,0.01838235294117647
case1,50,icra,2.6111990640250347e-07,12.2,344.0,50,24,0.008046315789473684,0.028528528528528527
case1,50,wca,2.4320014442006746e-07,16.9,311.0,50,20,0.005641999999999999,0.03748326639892905
case1,50,dca,2.739333043185373e-07,14.78,375.0,50,25,0.006473297297297295,0.047619047619047616
case1,100,icra,3.0784006715596964e-07,14.15,287.0,100,26,0.014059499999999987,0.08169219547775347
case1,100,wca,4.131199481586615e-07,19.08,303.0,96,21,0.006673333333333326,0.0462046204620462
case1,100,dca,3.1768009648658337e-07,17.5,359.0,100,24,0.006337333333333327,0.044930875576036866
case2,10,icra,1.9782666640821844e-07,14.2,1059.0,10,9,0.005096,0.02654867256637168
case2,10,wca,1.7665358124456057e-07,6.3,999.0,10,8,0.005096,0.022222222222222223
case2,10,dca,4.0081336919683965e-07,13.0,1039.0,10,8,0.005945333333333333,0.031746031746031744
case2,20,icra,2.28106703919669e-07,15.45,1069.0,20,16,0.005880000000000001,0.029213483146067417
case2,20,wca,1.832399721024558e-07,14.85,1019.0,20,15,0.005662222222222223,0.021897810218978103
case2,20,dca,3.7050658041456094e-07,17.7,1079.0,20,15,0.005379111111111112,0.04035874439461883
case2,50,icra,2.729065939395999e-07,25.3,1089.0,50,26,0.008068666666666663,0.041884816753926704
case2,50,wca,2.4396019095244506e-07,26.56,1169.0,49,20,0.006090341463414631,0.031538461538461536
case2,50,dca,4.180666534618164e-07,27.46,1189.0,50,25,0.0060319999999999966,0.03789636504253674
case2,100,icra,3.0820003303233536e-07,24.81,1059.0,100,26,0.012991654320987638,0.07241841752346893
case2,100,wca,4.3226665487357724e-07,30.36,1179.0,64,20,0.006454933333333325,0.036231884057971016
case2,100,dca,4.0327999158762393e-07,33.27,1329.0,100,26,0.0061713027522935695,0.037926235212247736
case3,10,icra,2.378932792150105e-07,10.0,1039.0,10,9,0.006228444444444445,0.05056179775280899
case3,10,wca,2.065466590768968e-07,7.3,1039.0,10,9,0.005096,0.03587443946188341
case3,10,dca,1.8821340442324678e-07,12.7,1049.0,10,8,0.005096,0.031578947368421054
case3,20,icra,2.614266122691333e-07,15.2,1059.0,20,16,0.005520666666666668,0.02771362586605081
case3,20,wca,2.0789329331212987e-07,16.25,1029.0,20,15,0.005559272727272727,0.025522041763341066
case3,20,dca,2.3266654655647775e-07,17.65,1069.0,20,16,0.007644000000000001,0.013888888888888888
case3,50,icra,3.4117324200148383e-07,24.4,1099.0,50,26,0.009221333333333328,0.038461538461538464
case3,50,wca,3.583599270010988e-07,28.12,1199.0,50,20,0.006242599999999996,0.03003003003003003
case3,50,dca,2.668933302629739e-07,28.8,1179.0,50,26,0.0065292499999999995,0.02616516762060507
case3,100,icra,2.9945333759921295e-07,24.67,1049.0,100,26,0.016449782383419664,0.08717253839205058
case3,100,wca,3.717068951421728e-07,31.05,1319.0,69,20,0.006142499999999993,0.03891591382904795
case3,100,dca,3.152000620805969e-07,33.17,1329.0,100,26,0.007272416666666657,0.033287101248266296
