round,w1,w2,w3,w4
0,0.45,0.2,0.15,0.2
1,0.45,0.2,0.15,0.2
2,0.45,0.2,0.15,0.2
3,0.45,0.2,0.15,0.2
4,0.45,0.2,0.15,0.2
5,0.45,0.2,0.15,0.2
6,0.45,0.2,0.15,0.2
7,0.45,0.2,0.15,0.2
8,0.45,0.2,0.15,0.2
9,0.45,0.2,0.15,0.2
10,0.45,0.2,0.15,0.2
11,0.35,0.3,0.2,0.15
12,0.4,0.2,0.2,0.2
13,0.45,0.2,0.2,0.15
14,0.4285714285,0.1904761905,0.1904761905,0.1904761905
15,0.35,0.15,0.25,0.25
16,0.4,0.2,0.2,0.2
17,0.4,0.2,0.2,0.2
18,0.4,0.2,0.2,0.2
19,0.4,0.35,0.15,0.1
20,0.4210526316,0.2105263158,0.1578947368,0.2105263158
21,0.4210526316,0.2105263158,0.1578947368,0.2105263158
22,0.4210526316,0.2105263158,0.1578947368,0.2105263158
23,0.4210526316,0.2105263158,0.1578947368,0.2105263158
24,0.4210526316,0.2105263158,0.1578947368,0.2105263158
25,0.4210526316,0.2105263158,0.1578947368,0.2105263158
26,0.4210526316,0.2105263158,0.1578947368,0.2105263158
27,0.4210526316,0.2105263158,0.1578947368,0.2105263158
28,0.4210526316,0.2105263158,0.1578947368,0.2105263158
29,0.4,0.35,0.15,0.1
30,0.4,0.35,0.15,0.1
31,0.4,0.35,0.15,0.1
32,0.4,0.35,0.15,0.1
33,0.4,0.35,0.15,0.1
34,0.3,0.3,0.2,0.2
35,0.4,0.35,0.15,0.1
36,0.4210526316,0.2105263158,0.1578947368,0.2105263158
37,0.4210526316,0.2105263158,0.1578947368,0.2105263158
38,0.4210526316,0.2105263158,0.1578947368,0.2105263158
39,0.4210526316,0.2105263158,0.1578947368,0.2105263158
40,0.4210526316,0.2105263158,0.1578947368,0.2105263158
41,0.4210526316,0.2105263158,0.1578947368,0.2105263158
42,0.4210526316,0.2105263158,0.1578947368,0.2105263158
43,0.4210526316,0.2105263158,0.1578947368,0.2105263158
44,0.4210526316,0.2105263158,0.1578947368,0.2105263158
45,0.4210526316,0.2105263158,0.1578947368,0.2105263158
46,0.4210526316,0.2105263158,0.1578947368,0.2105263158
47,0.4210526316,0.2105263158,0.1578947368,0.2105263158
48,0.4210526316,0.2105263158,0.1578947368,0.2105263158
49,0.4210526316,0.2105263158,0.1578947368,0.2105263158
50,0.4210526316,0.2105263158,0.1578947368,0.2105263158
51,0.4210526316,0.2105263158,0.1578947368,0.2105263158
52,0.4210526316,0.2105263158,0.1578947368,0.2105263158
53,0.4210526316,0.2105263158,0.1578947368,0.2105263158
54,0.4210526316,0.2105263158,0.1578947368,0.2105263158
55,0.4210526316,0.2105263158,0.1578947368,0.2105263158
56,0.4210526316,0.2105263158,0.1578947368,0.2105263158
57,0.4210526316,0.2105263158,0.1578947368,0.2105263158
58,0.4210526316,0.2105263158,0.1578947368,0.2105263158
59,0.4210526316,0.2105263158,0.1578947368,0.2105263158
60,0.4210526316,0.2105263158,0.1578947368,0.2105263158
61,0.4210526316,0.2105263158,0.1578947368,0.2105263158
62,0.4210526316,0.2105263158,0.1578947368,0.2105263158
63,0.4210526316,0.2105263158,0.1578947368,0.2105263158
64,0.5,0.15,0.1,0.25
65,0.45,0.2,0.15,0.2
66,0.45,0.2,0.15,0.2
67,0.45,0.2,0.15,0.2
68,0.45,0.2,0.15,0.2
69,0.45,0.2,0.15,0.2
70,0.45,0.2,0.15,0.2
71,0.45,0.2,0.15,0.2
72,0.45,0.2,0.15,0.2
73,0.45,0.2,0.15,0.2
74,0.45,0.2,0.15,0.2
75,0.45,0.2,0.15,0.2
76,0.45,0.2,0.15,0.2
77,0.45,0.2,0.15,0.2
78,0.45,0.2,0.15,0.2
79,0.45,0.2,0.15,0.2
80,0.45,0.2,0.15,0.2
81,0.45,0.2,0.15,0.2
82,0.45,0.2,0.15,0.2
83,0.45,0.2,0.15,0.2
84,0.45,0.2,0.15,0.2
85,0.35,0.2,0.25,0.2
86,0.4,0.2,0.2,0.2
87,0.4,0.2,0.2,0.2
88,0.4,0.2,0.2,0.2
89,0.4,0.2,0.2,0.2
90,0.4,0.2,0.2,0.2
91,0.4,0.2,0.2,0.2
92,0.4,0.2,0.2,0.2
93,0.4,0.2,0.2,0.2
94,0.4,0.2,0.2,0.2
95,0.4,0.2,0.2,0.2
96,0.4,0.2,0.2,0.2
97,0.4,0.2,0.2,0.2
98,0.4,0.2,0.2,0.2
99,0.4,0.2,0.2,0.2
100,0.35,0.15,0.2,0.3
101,0.35,0.15,0.2,0.3
102,0.35,0.15,0.2,0.3
103,0.35,0.15,0.2,0.3
104,0.35,0.15,0.2,0.3
105,0.35,0.15,0.2,0.3
106,0.35,0.15,0.2,0.3
107,0.35,0.15,0.2,0.3
108,0.35,0.15,0.2,0.3
109,0.35,0.15,0.2,0.3
110,0.35,0.15,0.2,0.3
111,0.35,0.15,0.2,0.3
112,0.35,0.15,0.2,0.3
113,0.35,0.15,0.2,0.3
114,0.35,0.15,0.2,0.3
115,0.35,0.15,0.2,0.3
116,0.35,0.15,0.2,0.3
117,0.35,0.15,0.2,0.3
118,0.35,0.15,0.2,0.3
119,0.35,0.15,0.2,0.3
120,0.35,0.15,0.2,0.3
121,0.35,0.15,0.2,0.3
122,0.35,0.15,0.2,0.3
123,0.35,0.15,0.2,0.3
124,0.35,0.15,0.2,0.3
125,0.35,0.15,0.2,0.3
126,0.35,0.15,0.2,0.3
127,0.35,0.15,0.2,0.3
128,0.35,0.15,0.2,0.3
129,0.35,0.15,0.2,0.3
130,0.35,0.15,0.2,0.3
131,0.35,0.15,0.2,0.3
132,0.35,0.15,0.2,0.3
133,0.35,0.15,0.2,0.3
134,0.35,0.15,0.2,0.3
135,0.35,0.15,0.2,0.3
136,0.35,0.15,0.2,0.3
137,0.35,0.15,0.2,0.3
138,0.35,0.15,0.2,0.3
139,0.35,0.15,0.2,0.3
140,0.35,0.15,0.2,0.3
141,0.35,0.15,0.2,0.3
142,0.35,0.15,0.2,0.3
143,0.35,0.15,0.2,0.3
144,0.35,0.15,0.2,0.3
145,0.35,0.15,0.2,0.3
146,0.35,0.15,0.2,0.3
147,0.35,0.15,0.2,0.3
148,0.35,0.15,0.2,0.3
149,0.35,0.15,0.2,0.3
150,0.35,0.15,0.2,0.3
151,0.35,0.15,0.2,0.3
152,0.35,0.15,0.2,0.3
153,0.35,0.15,0.2,0.3
154,0.35,0.15,0.2,0.3
155,0.35,0.15,0.2,0.3
156,0.35,0.15,0.2,0.3
157,0.35,0.15,0.2,0.3
158,0.35,0.15,0.2,0.3
159,0.35,0.15,0.2,0.3
160,0.35,0.15,0.2,0.3
161,0.35,0.15,0.2,0.3
162,0.35,0.15,0.2,0.3
163,0.35,0.15,0.2,0.3
164,0.15,0.45,0.2,0.2
165,0.3333333333,0.1904761905,0.1904761905,0.2857142857
166,0.35,0.15,0.2,0.3
167,0.35,0.15,0.2,0.3
168,0.35,0.15,0.2,0.3
169,0.35,0.15,0.2,0.3
170,0.35,0.15,0.2,0.3
171,0.35,0.15,0.2,0.3
172,0.35,0.15,0.2,0.3
173,0.35,0.15,0.2,0.3
174,0.35,0.15,0.2,0.3
175,0.35,0.15,0.2,0.3
176,0.35,0.15,0.2,0.3
177,0.35,0.15,0.2,0.3
178,0.35,0.15,0.2,0.3
179,0.35,0.15,0.2,0.3
180,0.35,0.15,0.2,0.3
181,0.35,0.15,0.2,0.3
182,0.35,0.15,0.2,0.3
183,0.35,0.15,0.2,0.3
184,0.35,0.15,0.2,0.3
185,0.35,0.15,0.2,0.3
186,0.35,0.15,0.2,0.3
187,0.35,0.15,0.2,0.3
188,0.6,0.15,0.2,0.05
189,0.3684210527,0.1578947368,0.2105263158,0.2631578947
190,0.35,0.15,0.2,0.3
191,0.35,0.15,0.2,0.3
192,0.35,0.15,0.2,0.3
193,0.35,0.15,0.2,0.3
194,0.35,0.15,0.2,0.3
195,0.35,0.15,0.2,0.3
196,0.35,0.15,0.2,0.3
197,0.35,0.15,0.2,0.3
198,0.35,0.15,0.2,0.3
199,0.35,0.15,0.2,0.3
200,0.35,0.15,0.2,0.3
201,0.35,0.15,0.2,0.3
202,0.35,0.15,0.2,0.3
203,0.35,0.15,0.2,0.3
204,0.35,0.15,0.2,0.3
205,0.35,0.15,0.2,0.3
206,0.35,0.15,0.2,0.3
207,0.35,0.15,0.2,0.3
208,0.35,0.15,0.2,0.3
209,0.35,0.15,0.2,0.3
210,0.35,0.15,0.2,0.3
211,0.35,0.15,0.2,0.3
212,0.35,0.15,0.2,0.3
213,0.35,0.15,0.2,0.3
214,0.35,0.15,0.2,0.3
215,0.35,0.15,0.2,0.3
216,0.35,0.15,0.2,0.3
217,0.35,0.15,0.2,0.3
218,0.35,0.15,0.2,0.3
219,0.35,0.15,0.2,0.3
220,0.35,0.15,0.2,0.3
221,0.35,0.15,0.2,0.3
222,0.35,0.15,0.2,0.3
223,0.35,0.15,0.2,0.3
224,0.35,0.15,0.2,0.3
225,0.35,0.15,0.2,0.3
226,0.35,0.15,0.2,0.3
227,0.35,0.15,0.2,0.3
228,0.25,0.3,0.15,0.3
229,0.2380952381,0.3333333333,0.1428571429,0.2857142857
230,0.3333333333,0.1904761905,0.1904761905,0.2857142857
231,0.35,0.15,0.2,0.3
232,0.35,0.15,0.2,0.3
233,0.35,0.15,0.2,0.3
234,0.35,0.15,0.2,0.3
235,0.35,0.15,0.2,0.3
236,0.35,0.15,0.2,0.3
237,0.35,0.15,0.2,0.3
238,0.5,0.2,0.2,0.1
239,0.3684210527,0.1578947368,0.2105263158,0.2631578947
240,0.35,0.15,0.2,0.3
241,0.35,0.15,0.2,0.3
242,0.35,0.15,0.2,0.3
243,0.35,0.15,0.2,0.3
244,0.35,0.15,0.2,0.3
245,0.35,0.15,0.2,0.3
246,0.35,0.15,0.2,0.3
247,0.35,0.15,0.2,0.3
248,0.35,0.15,0.2,0.3
