round,w1,w2,w3,w4
0,0.05,0.3,0.2,0.45
1,0.05,0.25,0.25,0.45
2,0.05,0.25,0.25,0.45
3,0.05,0.25,0.25,0.45
4,0.05,0.2,0.3,0.45
5,0.05,0.25,0.25,0.45
6,0.2,0.25,0.1,0.45
7,0.05,0.2,0.25,0.5
8,0.05,0.2,0.3,0.45
9,0.05,0.2,0.3,0.45
10,0.05,0.2,0.3,0.45
11,0.05,0.3,0.25,0.4
12,0.05,0.2,0.3,0.45
13,0.05,0.15,0.3,0.5
14,0.05,0.3,0.2,0.45
15,0.05,0.15,0.3,0.5
16,0.05,0.15,0.3,0.5
17,0.05,0.15,0.3,0.5
18,0.05,0.15,0.3,0.5
19,0.05,0.15,0.3,0.5
20,0.0,0.2,0.25,0.55
21,0.05,0.15,0.3,0.5
22,0.05,0.2,0.35,0.4
23,0.0,0.05,0.4,0.55
24,0.1,0.15,0.25,0.5
25,0.05,0.1,0.35,0.5
26,0.15,0.15,0.25,0.45
27,0.15,0.15,0.25,0.45
28,0.25,0.2,0.1,0.45
29,0.15,0.15,0.25,0.45
30,0.15,0.15,0.25,0.45
31,0.15,0.15,0.25,0.45
32,0.15,0.15,0.25,0.45
33,0.15,0.15,0.25,0.45
34,0.05,0.5,0.1,0.35
35,0.15,0.15,0.25,0.45
36,0.15,0.15,0.25,0.45
37,0.15,0.15,0.25,0.45
38,0.15,0.15,0.25,0.45
39,0.15,0.15,0.25,0.45
40,0.15,0.2,0.25,0.4
41,0.15,0.2,0.25,0.4
42,0.25,0.25,0.15,0.35
43,0.1,0.15,0.4,0.35
44,0.15,0.2,0.25,0.4
45,0.15,0.2,0.25,0.4
46,0.25,0.25,0.15,0.35
47,0.15,0.2,0.25,0.4
48,0.15,0.2,0.25,0.4
49,0.1,0.2,0.25,0.45
50,0.0,0.05,0.4,0.55
51,0.0,0.05,0.4,0.55
52,0.0,0.05,0.4,0.55
53,0.05,0.15,0.25,0.55
54,0.05,0.15,0.3,0.5
55,0.05,0.15,0.3,0.5
56,0.0,0.05,0.4,0.55
57,0.0,0.05,0.4,0.55
58,0.05,0.15,0.3,0.5
59,0.05,0.15,0.3,0.5
60,0.0,0.05,0.4,0.55
61,0.1,0.35,0.3,0.25
62,0.0,0.05,0.4,0.55
63,0.0,0.05,0.4,0.55
64,0.05,0.15,0.3,0.5
65,0.05,0.15,0.3,0.5
66,0.05,0.2,0.25,0.5
67,0.15,0.15,0.05,0.65
68,0.0,0.05,0.4,0.55
69,0.0,0.05,0.4,0.55
70,0.1,0.2,0.2,0.5
71,0.05,0.2,0.25,0.5
72,0.05,0.2,0.25,0.5
73,0.15,0.25,0.2,0.4
74,0.05,0.2,0.3,0.45
75,0.05,0.2,0.3,0.45
76,0.3,0.15,0.1,0.45
77,0.1,0.2,0.25,0.45
78,0.1,0.2,0.25,0.45
79,0.15,0.2,0.25,0.4
80,0.15,0.2,0.25,0.4
81,0.05,0.5,0.1,0.35
82,0.15,0.15,0.25,0.45
83,0.15,0.15,0.25,0.45
84,0.25,0.2,0.1,0.45
85,0.15,0.15,0.25,0.45
86,0.05,0.5,0.1,0.35
87,0.15,0.15,0.25,0.45
88,0.15,0.15,0.25,0.45
89,0.1,0.2,0.25,0.45
90,0.1,0.2,0.25,0.45
91,0.1,0.2,0.25,0.45
92,0.1,0.2,0.25,0.45
93,0.1,0.2,0.25,0.45
94,0.1,0.2,0.25,0.45
95,0.1,0.2,0.25,0.45
96,0.1,0.2,0.25,0.45
97,0.1,0.2,0.25,0.45
98,0.1,0.2,0.25,0.45
99,0.1,0.2,0.25,0.45
100,0.1,0.0,0.5,0.4
101,0.1,0.2,0.25,0.45
102,0.1,0.2,0.25,0.45
103,0.1,0.2,0.25,0.45
104,0.1,0.2,0.25,0.45
105,0.1,0.2,0.25,0.45
106,0.1,0.2,0.25,0.45
107,0.1,0.2,0.25,0.45
108,0.1,0.2,0.25,0.45
109,0.1,0.2,0.25,0.45
110,0.1,0.2,0.25,0.45
111,0.1,0.2,0.25,0.45
112,0.1,0.2,0.25,0.45
113,0.35,0.0,0.25,0.4
114,0.1,0.2,0.25,0.45
115,0.1,0.2,0.25,0.45
116,0.1,0.2,0.25,0.45
117,0.1,0.2,0.25,0.45
118,0.1,0.2,0.25,0.45
